               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041139,            0.017251,                   0,             0.88445,             0.67901,             0.83204,             0.40081,            0.048446,            0.021243,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.042198,            0.019309,                   0,             0.78224,             0.69528,             0.82215,             0.40277,            0.047612,            0.021172,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.039776,            0.018484,                   0,             0.84137,             0.72718,              0.8396,              0.4065,            0.047753,            0.021073,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.040054,             0.01898,                   0,             0.86816,             0.69039,             0.83379,             0.40303,            0.047562,            0.021283,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.040235,             0.01917,                   0,             0.84841,             0.70161,             0.82342,             0.40649,            0.047454,            0.021412,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.039939,            0.020266,                   0,             0.81941,             0.69355,             0.82087,             0.40394,            0.047434,            0.021373,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.03985,            0.018481,                   0,             0.80792,                0.75,             0.82946,             0.40695,            0.047365,            0.021449,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.040147,            0.017471,                   0,             0.84435,             0.67742,              0.8213,             0.40526,            0.047633,            0.021395,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.038609,            0.017382,                   0,              0.8426,             0.70968,             0.83433,             0.41173,            0.047496,            0.021325,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.036549,            0.017655,                   0,             0.79289,             0.74097,             0.83958,              0.4106,            0.047504,            0.021428,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.037257,            0.017487,                   0,             0.79272,             0.74022,             0.83436,             0.40902,             0.04742,             0.02135,                   0,            0.000496,            0.000496,            0.000496
